delay_through_s,delay_we_s,avg_q_A_NS,max_q_A_NS,avg_q_B_NS,max_q_B_NS,avg_q_A_WE,max_q_A_WE,avg_q_B_WE,max_q_B_WE,throughput_north_vph,avg_link_occupancy,blocking_frequency,preemption_count,recovery_time_s,served_A_NS,served_B_NS,served_A_WE,served_B_WE,served_WE_total,lambda_A_NS,lambda_B_NS,lambda_A_WE,lambda_B_WE,lambda_WE_total,util_A_NS,util_B_NS,util_A_WE,util_B_WE,rho_A_NS,rho_B_NS,rho_A_WE,rho_B_WE,scenario,replication
103.09683122769013,22.626017509767717,19.971384893472568,52.0,3.8013352975346204,23.0,2.8180868040421942,15.0,2.420611835193742,11.0,489.14285714285717,4.174499638138595,0.0,47.0,15.413892339252854,1579,1095,772,683,1455,0.25063492063492065,0.1738095238095238,0.12253968253968255,0.10841269841269842,0.23095238095238096,0.5144003477464093,0.3294872757019336,0.23460424206712166,0.21543697726508934,0.5012698412698413,0.3476190476190476,0.2450793650793651,0.21682539682539684,Coordinated_WithEmergency,2
79.82105028618952,22.661759374307504,17.027037058787776,50.0,2.515785084321029,20.0,2.7537007036277954,16.0,2.376755011610302,12.0,496.0,4.238035281693286,0.0,47.0,18.098044713479037,1584,1107,734,692,1426,0.25142857142857145,0.1757142857142857,0.1165079365079365,0.10984126984126984,0.22634920634920636,0.5165081357850692,0.3580336547977344,0.21674006392350448,0.21674503852524124,0.5028571428571429,0.3514285714285714,0.233015873015873,0.21968253968253967,Coordinated_WithEmergency,3
82.41250185810478,22.347437986994077,15.919956824646691,39.0,3.823869830990289,18.0,2.5262340839793,15.0,2.41781059855698,13.0,540.5714285714286,4.511378227216322,0.0,50.0,15.97221458337559,1652,1172,706,690,1396,0.26222222222222225,0.18603174603174602,0.11206349206349206,0.10952380952380952,0.22158730158730158,0.5309950869984718,0.3728156733453638,0.22117176013960957,0.21011541863548264,0.5244444444444445,0.37206349206349204,0.22412698412698412,0.21904761904761905,Coordinated_WithEmergency,4
38.63789244261013,21.87074075463459,5.873792585345688,28.0,2.246346621604904,15.0,2.5096682603215297,15.0,2.4684630568431216,13.0,445.14285714285717,3.8881035670142974,0.0,62.0,16.601100182478575,1489,1034,710,722,1432,0.23634920634920634,0.16412698412698412,0.1126984126984127,0.11460317460317461,0.2273015873015873,0.45366746239430117,0.33026807476508585,0.22320390251809177,0.21675253077493442,0.4726984126984127,0.32825396825396824,0.2253968253968254,0.22920634920634922,Coordinated_WithEmergency,5
123.44767910313877,22.77410342948679,25.672614847713824,69.0,3.5136894912719603,18.0,2.5418206737575906,12.0,2.5936130673567033,12.0,496.0,4.1563073867290505,0.0,45.0,17.237715163754505,1580,1079,709,714,1423,0.2507936507936508,0.17126984126984127,0.11253968253968254,0.11333333333333333,0.22587301587301586,0.5176799985391554,0.33017691969573826,0.22287176831955494,0.2363252911416294,0.5015873015873016,0.34253968253968253,0.22507936507936507,0.22666666666666666,Coordinated_WithEmergency,6
77.52802389816647,23.186342666207985,15.35051677788894,40.0,3.3935525228420547,21.0,2.5457938056161225,12.0,2.6336835576484,13.0,511.42857142857144,4.309443888109599,0.0,65.0,14.838535484544508,1634,1117,692,705,1397,0.25936507936507935,0.1773015873015873,0.10984126984126984,0.11190476190476191,0.22174603174603175,0.5170246087921474,0.33881370325737914,0.2246803369141694,0.22905559347677887,0.5187301587301587,0.3546031746031746,0.21968253968253967,0.22380952380952382,Coordinated_WithEmergency,7
83.94195737479467,22.571368806680216,17.087842554438698,52.0,2.824785921974359,18.0,2.2189047937208843,13.0,2.5225473407834613,12.0,523.4285714285714,4.480649259404166,0.0,53.0,14.493271333703976,1621,1151,636,686,1322,0.2573015873015873,0.1826984126984127,0.10095238095238095,0.10888888888888888,0.20984126984126983,0.5094186443849579,0.35206447731677043,0.19687236898012017,0.2269779994207962,0.5146031746031746,0.3653968253968254,0.2019047619047619,0.21777777777777776,Coordinated_WithEmergency,8
72.16610864976879,22.735819532049543,14.581601907871852,41.0,2.8983386852608017,21.0,2.5805027348078227,11.0,2.66524761644425,11.0,512.0,4.325713999424479,0.0,50.0,15.729170135702114,1598,1127,694,760,1454,0.2536507936507936,0.17888888888888888,0.11015873015873016,0.12063492063492064,0.2307936507936508,0.5171890527562041,0.35758328126508854,0.2323390886018114,0.25204911816198083,0.5073015873015873,0.35777777777777775,0.22031746031746033,0.24126984126984127,Coordinated_WithEmergency,9
60.660274470394015,22.812318609826153,10.390973118004538,31.0,3.468122357330701,18.0,2.826526712723675,13.0,2.4442664762163413,13.0,508.57142857142856,4.351039553287686,0.0,54.0,17.25518772172343,1614,1127,749,689,1438,0.2561904761904762,0.17888888888888888,0.11888888888888889,0.10936507936507936,0.22825396825396826,0.5053203299435568,0.3467233971344568,0.2525244232126693,0.22093334709375836,0.5123809523809524,0.35777777777777775,0.23777777777777778,0.21873015873015872,Coordinated_WithEmergency,10
53.51940073314245,23.780331167010154,7.852688518263095,28.0,3.773551471373183,19.0,2.2448026175397375,14.0,3.0436807312517495,14.0,492.57142857142856,4.17788111479149,0.0,54.0,16.600637706222365,1550,1086,652,743,1395,0.24603174603174602,0.17238095238095238,0.1034920634920635,0.11793650793650794,0.22142857142857142,0.4800913372670651,0.35207895583979987,0.20057145234072957,0.2504829272223536,0.49206349206349204,0.34476190476190477,0.206984126984127,0.23587301587301587,Coordinated_WithEmergency,11
61.57232837183083,22.342312247046852,11.684480581921802,34.0,2.299244160131808,15.0,2.5833848480218586,12.0,2.531472789542658,15.0,508.57142857142856,4.183335201297834,0.0,62.0,17.101985985509724,1554,1100,711,713,1424,0.24666666666666667,0.1746031746031746,0.11285714285714285,0.11317460317460318,0.22603174603174603,0.5151581474622122,0.3303296658528959,0.22290718601003515,0.20628107274234048,0.49333333333333335,0.3492063492063492,0.2257142857142857,0.22634920634920636,Coordinated_WithEmergency,12
