threshold,Sensitivity,Specificity,J
0.42,0.7073170731707317,0.8367346938775511,0.5440517670482827
0.43,0.7073170731707317,0.8367346938775511,0.5440517670482827
0.44,0.7073170731707317,0.8367346938775511,0.5440517670482827
0.45,0.7073170731707317,0.8367346938775511,0.5440517670482827
0.46,0.7073170731707317,0.8367346938775511,0.5440517670482827
0.47,0.7073170731707317,0.8367346938775511,0.5440517670482827
0.48,0.7073170731707317,0.8367346938775511,0.5440517670482827
0.49,0.7073170731707317,0.8367346938775511,0.5440517670482827
0.5,0.7073170731707317,0.8571428571428571,0.5644599303135887
0.51,0.7073170731707317,0.8571428571428571,0.5644599303135887
0.52,0.7073170731707317,0.8775510204081632,0.584868093578895
0.53,0.7073170731707317,0.8775510204081632,0.584868093578895
0.54,0.7073170731707317,0.8775510204081632,0.584868093578895
0.55,0.7073170731707317,0.8775510204081632,0.584868093578895
0.56,0.7073170731707317,0.8775510204081632,0.584868093578895
0.57,0.7073170731707317,0.8775510204081632,0.584868093578895
0.58,0.7073170731707317,0.8775510204081632,0.584868093578895
0.59,0.7073170731707317,0.8775510204081632,0.584868093578895
0.6,0.7073170731707317,0.8775510204081632,0.584868093578895
0.61,0.7073170731707317,0.8775510204081632,0.584868093578895
0.62,0.7073170731707317,0.8775510204081632,0.584868093578895
0.63,0.7073170731707317,0.8775510204081632,0.584868093578895
0.64,0.6829268292682927,0.8775510204081632,0.560477849676456
0.65,0.6829268292682927,0.8775510204081632,0.560477849676456
0.66,0.6829268292682927,0.9183673469387755,0.6012941762070683
0.67,0.6829268292682927,0.9183673469387755,0.6012941762070683
0.68,0.6585365853658537,0.9183673469387755,0.5769039323046292
0.69,0.6585365853658537,0.9183673469387755,0.5769039323046292
0.7,0.6585365853658537,0.9387755102040817,0.5973120955699354
0.71,0.6585365853658537,0.9387755102040817,0.5973120955699354
0.72,0.6341463414634146,0.9387755102040817,0.5729218516674963
0.73,0.6341463414634146,0.9387755102040817,0.5729218516674963
0.74,0.6097560975609756,0.9387755102040817,0.5485316077650573
0.75,0.6097560975609756,0.9387755102040817,0.5485316077650573
0.76,0.6097560975609756,0.9387755102040817,0.5485316077650573
0.77,0.6097560975609756,0.9591836734693877,0.5689397710303634
0.78,0.5853658536585366,0.9591836734693877,0.5445495271279244
0.79,0.5853658536585366,0.9591836734693877,0.5445495271279244
0.8,0.5365853658536586,0.9591836734693877,0.4957690393230463
0.81,0.5365853658536586,0.9591836734693877,0.4957690393230463
0.82,0.5121951219512195,0.9591836734693877,0.47137879542060723
0.83,0.4878048780487805,0.9591836734693877,0.4469885515181682
0.84,0.4878048780487805,0.9591836734693877,0.4469885515181682
0.85,0.4878048780487805,0.9591836734693877,0.4469885515181682
0.86,0.4878048780487805,0.9591836734693877,0.4469885515181682
0.87,0.4634146341463415,0.9591836734693877,0.42259830761572914
0.88,0.4146341463414634,0.9591836734693877,0.37381781981085105
0.89,0.3902439024390244,0.9591836734693877,0.349427575908412
0.9,0.3902439024390244,0.9591836734693877,0.349427575908412
0.91,0.36585365853658536,0.9591836734693877,0.32503733200597296
0.92,0.3170731707317073,0.9591836734693877,0.2762568442010951
0.93,0.2926829268292683,0.9795918367346939,0.2722747635639622
0.94,0.2926829268292683,0.9795918367346939,0.2722747635639622
0.95,0.2682926829268293,0.9795918367346939,0.24788451966152314
0.96,0.24390243902439024,0.9795918367346939,0.2234942757590841
0.97,0.24390243902439024,0.9795918367346939,0.2234942757590841
0.98,0.21951219512195122,0.9795918367346939,0.19910403185664505
0.99,0.17073170731707318,1.0,0.1707317073170731
1.0,0.0,1.0,0.0
