scenario,replication,kpi,value
S1,10,avg_jt_eminonu,1889.1086914784848
S1,10,avg_jt_besiktas,3770.425751327184
S1,10,avg_jt_kadikoy,2124.5159218323233
S1,10,avg_jt_uskudar,2206.605878089015
S1,10,loss_rate,0.0
S1,10,left_behind_rate,0.13326249450388392
S1,10,throughput,1788.4666666666667
S1,10,load_factor_L1,0.3761184210526316
S1,10,load_factor_L2,0.5731896551724138
S1,10,load_factor_L3,0.44241379310344825
S1,10,load_factor_L4,0.5330263157894737
S1,10,avg_wait_kadikoy,1248.1575727092304
S1,10,avg_wait_uskudar,987.823393473715
S1,10,avg_wait_eminonu,498.7173599713705
S1,10,avg_wait_besiktas,910.4939355549964
S1,10,berth_util_kadikoy,0.14888888888888888
S1,10,berth_util_eminonu,0.14888888888888888
S1,10,missed_conn_rate,0.0
S1,10,total_pax_served,26827.0
S1,11,avg_journey_time,2397.362247716594
S1,11,avg_jt_eminonu,1897.777108694293
S1,11,avg_jt_besiktas,3473.5460638890745
S1,11,avg_jt_kadikoy,2119.4222208629044
S1,11,avg_jt_uskudar,2183.2693310815475
S1,11,loss_rate,0.0
S1,11,left_behind_rate,0.11833247022268255
S1,11,throughput,1771.0666666666666
S1,11,load_factor_L1,0.37463815789473687
S1,11,load_factor_L2,0.5597413793103448
S1,11,load_factor_L3,0.44241379310344825
S1,11,load_factor_L4,0.5298684210526315
S1,11,avg_wait_kadikoy,1033.6952962387036
S1,11,avg_wait_uskudar,1093.0175211532173
S1,11,avg_wait_eminonu,500.7319953084597
S1,11,avg_wait_besiktas,887.0693877822256
S1,11,berth_util_kadikoy,0.14888888888888888
S1,11,berth_util_eminonu,0.14888888888888888
S1,11,missed_conn_rate,0.0
S1,11,total_pax_served,26566.0
S1,12,avg_journey_time,2470.1595583016915
S1,12,avg_jt_eminonu,1896.6765313471042
S1,12,avg_jt_besiktas,3756.9165648327635
S1,12,avg_jt_kadikoy,2106.598455151442
S1,12,avg_jt_uskudar,2193.790853280789
S1,12,loss_rate,0.0
S1,12,left_behind_rate,0.14053005344461528
S1,12,throughput,1789.2
S1,12,load_factor_L1,0.37976973684210524
S1,12,load_factor_L2,0.5531896551724138
S1,12,load_factor_L3,0.45663793103448275
S1,12,load_factor_L4,0.5348684210526315
S1,12,avg_wait_kadikoy,1173.1462984617015
S1,12,avg_wait_uskudar,1132.1482458155433
S1,12,avg_wait_eminonu,520.5149289109693
S1,12,avg_wait_besiktas,878.2593300015267
S1,12,berth_util_kadikoy,0.14888888888888888
S1,12,berth_util_eminonu,0.14888888888888888
S1,12,missed_conn_rate,0.0
S1,12,total_pax_served,26838.0
S1,13,avg_journey_time,2410.336748973695
S1,13,avg_jt_eminonu,1889.6031955904468
S1,13,avg_jt_besiktas,3527.5276998999702
S1,13,avg_jt_kadikoy,2117.1570284239774
S1,13,avg_jt_uskudar,2188.6904486635735
S1,13,loss_rate,0.0
S1,13,left_behind_rate,0.13004566882734236
S1,13,throughput,1779.2
S1,13,load_factor_L1,0.37546052631578947
S1,13,load_factor_L2,0.5625
S1,13,load_factor_L3,0.44155172413793103
S1,13,load_factor_L4,0.535
S1,13,avg_wait_kadikoy,1065.350476471537
S1,13,avg_wait_uskudar,1085.608552428785
S1,13,avg_wait_eminonu,507.3081632988814
S1,13,avg_wait_besiktas,877.1872922688999
S1,13,berth_util_kadikoy,0.14888888888888888
S1,13,berth_util_eminonu,0.14888888888888888
S1,13,missed_conn_rate,0.0
S1,13,total_pax_served,26688.0
S1,14,avg_journey_time,2496.7119464981893
S1,14,avg_jt_eminonu,1891.747823642588
S1,14,avg_jt_besiktas,3844.597294535225
S1,14,avg_jt_kadikoy,2098.24029104637
S1,14,avg_jt_uskudar,2177.9580743101246
S1,14,loss_rate,0.0
S1,14,left_behind_rate,0.13286739010483722
S1,14,throughput,1782.4666666666667
S1,14,load_factor_L1,0.37796052631578947
S1,14,load_factor_L2,0.560948275862069
S1,14,load_factor_L3,0.4432758620689655
S1,14,load_factor_L4,0.5307894736842105
S1,14,avg_wait_kadikoy,1295.130417277396
S1,14,avg_wait_uskudar,989.1335669399617
S1,14,avg_wait_eminonu,498.9717187739391
S1,14,avg_wait_besiktas,870.6091376674602
S1,14,berth_util_kadikoy,0.14888888888888888
S1,14,berth_util_eminonu,0.14888888888888888
S1,14,missed_conn_rate,0.0
S1,14,total_pax_served,26737.0
S1,15,avg_journey_time,2341.4140250581545
S1,15,avg_jt_eminonu,1901.780882735431
S1,15,avg_jt_besiktas,3290.8113062027205
S1,15,avg_jt_kadikoy,2104.5499619211632
S1,15,avg_jt_uskudar,2171.886719093586
S1,15,loss_rate,0.0
S1,15,left_behind_rate,0.09790337951763067
S1,15,throughput,1789.9333333333334
S1,15,load_factor_L1,0.38151315789473683
S1,15,load_factor_L2,0.5578448275862069
S1,15,load_factor_L3,0.45155172413793104
S1,15,load_factor_L4,0.5260526315789473
S1,15,avg_wait_kadikoy,935.4377233769932
S1,15,avg_wait_uskudar,1077.595608452419
S1,15,avg_wait_eminonu,516.8043161159549
S1,15,avg_wait_besiktas,853.1067610866554
S1,15,berth_util_kadikoy,0.14888888888888888
S1,15,berth_util_eminonu,0.14888888888888888
S1,15,missed_conn_rate,0.0
S1,15,total_pax_served,26849.0
S1,16,avg_journey_time,2417.6723835078774
S1,16,avg_jt_eminonu,1895.4200625308704
S1,16,avg_jt_besiktas,3566.050895625431
S1,16,avg_jt_kadikoy,2106.0321139525277
S1,16,avg_jt_uskudar,2206.548035004115
S1,16,loss_rate,0.0
S1,16,left_behind_rate,0.1254904836994389
S1,16,throughput,1788.2
S1,16,load_factor_L1,0.3806578947368421
S1,16,load_factor_L2,0.5525862068965517
S1,16,load_factor_L3,0.44741379310344825
S1,16,load_factor_L4,0.5367105263157895
S1,16,avg_wait_kadikoy,993.8337011365767
S1,16,avg_wait_uskudar,1266.519600045618
S1,16,avg_wait_eminonu,511.4986677245909
S1,16,avg_wait_besiktas,883.4583012931598
S1,16,berth_util_kadikoy,0.14888888888888888
S1,16,berth_util_eminonu,0.14888888888888888
S1,16,missed_conn_rate,0.0
S1,16,total_pax_served,26823.0
S1,17,avg_journey_time,2440.598158986854
S1,17,avg_jt_eminonu,1904.6711490117546
S1,17,avg_jt_besiktas,3629.5013294140645
S1,17,avg_jt_kadikoy,2122.3374176130274
S1,17,avg_jt_uskudar,2191.553750833141
S1,17,loss_rate,0.0
S1,17,left_behind_rate,0.12917170385023996
S1,17,throughput,1790.0
S1,17,load_factor_L1,0.3817763157894737
S1,17,load_factor_L2,0.5574137931034483
S1,17,load_factor_L3,0.4432758620689655
S1,17,load_factor_L4,0.5389473684210526
S1,17,avg_wait_kadikoy,1117.3330202476434
S1,17,avg_wait_uskudar,1106.067202126675
S1,17,avg_wait_eminonu,506.6712423053538
S1,17,avg_wait_besiktas,891.311805744081
S1,17,berth_util_kadikoy,0.14888888888888888
S1,17,berth_util_eminonu,0.14888888888888888
S1,17,missed_conn_rate,0.0
S1,17,total_pax_served,26850.0
S1,18,avg_journey_time,2455.027776910744
S1,18,avg_jt_eminonu,1899.3860023853565
S1,18,avg_jt_besiktas,3686.2505458561095
S1,18,avg_jt_kadikoy,2106.2392562991417
S1,18,avg_jt_uskudar,2192.9579957261235
S1,18,loss_rate,0.0
S1,18,left_behind_rate,0.13883491586318145
S1,18,throughput,1788.5333333333333
S1,18,load_factor_L1,0.3776973684210526
S1,18,load_factor_L2,0.5612931034482759
S1,18,load_factor_L3,0.44689655172413795
S1,18,load_factor_L4,0.5392105263157895
S1,18,avg_wait_kadikoy,1138.1142880363018
S1,18,avg_wait_uskudar,1138.42583523598
S1,18,avg_wait_eminonu,504.6363869968003
S1,18,avg_wait_besiktas,879.6702938377838
S1,18,berth_util_kadikoy,0.14888888888888888
S1,18,berth_util_eminonu,0.14888888888888888
S1,18,missed_conn_rate,0.0
S1,18,total_pax_served,26828.0
S1,19,avg_journey_time,2487.717350843846
S1,19,avg_jt_eminonu,1896.5217912097191
S1,19,avg_jt_besiktas,3805.6885290338123
S1,19,avg_jt_kadikoy,2110.6632782238958
S1,19,avg_jt_uskudar,2195.149626627438
S1,19,loss_rate,0.0
S1,19,left_behind_rate,0.14278867423683822
S1,19,throughput,1778.1333333333334
S1,19,load_factor_L1,0.3773355263157895
S1,19,load_factor_L2,0.5557758620689656
S1,19,load_factor_L3,0.44620689655172413
S1,19,load_factor_L4,0.5318421052631579
S1,19,avg_wait_kadikoy,1201.4908835451345
S1,19,avg_wait_uskudar,1135.7790288338113
S1,19,avg_wait_eminonu,507.956830912639
S1,19,avg_wait_besiktas,901.2433398189689
S1,19,berth_util_kadikoy,0.14888888888888888
S1,19,berth_util_eminonu,0.14888888888888888
S1,19,missed_conn_rate,0.0
S1,19,total_pax_served,26672.0
S1,20,avg_journey_time,2376.1197576204504
S1,20,avg_jt_eminonu,1896.0950549155407
S1,20,avg_jt_besiktas,3403.149914916942
S1,20,avg_jt_kadikoy,2107.922489886122
S1,20,avg_jt_uskudar,2168.8724594066616
S1,20,loss_rate,0.0
S1,20,left_behind_rate,0.11319415916644882
S1,20,throughput,1753.7333333333333
S1,20,load_factor_L1,0.3736184210526316
S1,20,load_factor_L2,0.5510344827586207
S1,20,load_factor_L3,0.4324137931034483
S1,20,load_factor_L4,0.5255263157894737
S1,20,avg_wait_kadikoy,1021.533700666578
S1,20,avg_wait_uskudar,1033.7832587637756
S1,20,avg_wait_eminonu,503.0404587629302
S1,20,avg_wait_besiktas,862.5074288580096
S1,20,berth_util_kadikoy,0.14888888888888888
S1,20,berth_util_eminonu,0.14888888888888888
S1,20,missed_conn_rate,0.0
S1,20,total_pax_served,26306.0
S2,1,avg_journey_time,1834.8790541428996
S2,1,avg_jt_eminonu,1640.9635700332374
S2,1,avg_jt_besiktas,2158.249238694763
S2,1,avg_jt_kadikoy,1847.9963826135365
S2,1,avg_jt_uskudar,1807.383692176888
S2,1,loss_rate,0.0
S2,1,left_behind_rate,0.0017414502204601875
S2,1,throughput,1771.8666666666666
S2,1,load_factor_L1,0.25296052631578947
S2,1,load_factor_L2,0.37176470588235294
S2,1,load_factor_L3,0.29870588235294115
S2,1,load_factor_L4,0.34801724137931034
S2,1,avg_wait_kadikoy,281.8833367778246
S2,1,avg_wait_uskudar,555.2194456938943
S2,1,avg_wait_eminonu,257.48858152323953
S2,1,avg_wait_besiktas,518.5330535541566
S2,1,berth_util_kadikoy,0.22
S2,1,berth_util_eminonu,0.22
S2,1,missed_conn_rate,0.0
S2,1,total_pax_served,26578.0
S2,2,avg_journey_time,1835.5028840230373
S2,2,avg_jt_eminonu,1642.1824775511793
S2,2,avg_jt_besiktas,2156.4500641353725
S2,2,avg_jt_kadikoy,1842.2445998565818
S2,2,avg_jt_uskudar,1792.6511080469988
S2,2,loss_rate,0.0
S2,2,left_behind_rate,0.0017925831870635248
S2,2,throughput,1758.5333333333333
S2,2,load_factor_L1,0.24717105263157896
S2,2,load_factor_L2,0.37023529411764705
S2,2,load_factor_L3,0.3014705882352941
S2,2,load_factor_L4,0.3514655172413793
S2,2,avg_wait_kadikoy,283.0366517106979
S2,2,avg_wait_uskudar,560.5874224266906
S2,2,avg_wait_eminonu,259.37930757688815
S2,2,avg_wait_besiktas,511.16154138722646
S2,2,berth_util_kadikoy,0.22
S2,2,berth_util_eminonu,0.22
S2,2,missed_conn_rate,0.0
S2,2,total_pax_served,26378.0
S2,3,avg_journey_time,1830.9991201230034
S2,3,avg_jt_eminonu,1636.4315869499728
S2,3,avg_jt_besiktas,2144.1393897510975
S2,3,avg_jt_kadikoy,1858.938136650318
S2,3,avg_jt_uskudar,1777.0108293346602
S2,3,loss_rate,0.0
S2,3,left_behind_rate,0.0011507907045808894
S2,3,throughput,1769.3333333333333
S2,3,load_factor_L1,0.2456578947368421
S2,3,load_factor_L2,0.3749411764705882
S2,3,load_factor_L3,0.3069411764705882
S2,3,load_factor_L4,0.35482758620689653
S2,3,avg_wait_kadikoy,278.49426755581396
S2,3,avg_wait_uskudar,543.2457100006206
S2,3,avg_wait_eminonu,257.3367639152015
S2,3,avg_wait_besiktas,507.8250134541582
S2,3,berth_util_kadikoy,0.22
S2,3,berth_util_eminonu,0.22
S2,3,missed_conn_rate,0.0
S2,3,total_pax_served,26540.0
S2,4,avg_journey_time,1835.5728159981957
S2,4,avg_jt_eminonu,1639.9520966736372
S2,4,avg_jt_besiktas,2143.7006820311117
S2,4,avg_jt_kadikoy,1853.7038837711104
S2,4,avg_jt_uskudar,1817.6429779837927
S2,4,loss_rate,0.0
S2,4,left_behind_rate,0.001474491300501327
S2,4,throughput,1780.2
S2,4,load_factor_L1,0.25107456140350876
S2,4,load_factor_L2,0.3790588235294118
S2,4,load_factor_L3,0.29770588235294115
S2,4,load_factor_L4,0.3568965517241379
S2,4,avg_wait_kadikoy,279.7899050101296
S2,4,avg_wait_uskudar,550.0401760953008
S2,4,avg_wait_eminonu,259.3519226906608
S2,4,avg_wait_besiktas,520.9076610029612
S2,4,berth_util_kadikoy,0.22
S2,4,berth_util_eminonu,0.22
S2,4,missed_conn_rate,0.0
S2,4,total_pax_served,26703.0
S2,5,avg_journey_time,1832.575762206313
S2,5,avg_jt_eminonu,1643.0832231813392
S2,5,avg_jt_besiktas,2144.091184093159
S2,5,avg_jt_kadikoy,1847.8517605458928
S2,5,avg_jt_uskudar,1778.0721267762283
S2,5,loss_rate,0.0
S2,5,left_behind_rate,0.001746692433477033
S2,5,throughput,1765.7333333333333
S2,5,load_factor_L1,0.24833333333333332
S2,5,load_factor_L2,0.3771764705882353
S2,5,load_factor_L3,0.2972941176470588
S2,5,load_factor_L4,0.35310344827586204
S2,5,avg_wait_kadikoy,281.4284199431238
S2,5,avg_wait_uskudar,552.3347892122388
S2,5,avg_wait_eminonu,251.96261571195893
S2,5,avg_wait_besiktas,503.4403103958542
S2,5,berth_util_kadikoy,0.22
S2,5,berth_util_eminonu,0.22
S2,5,missed_conn_rate,0.0
S2,5,total_pax_served,26486.0
S2,6,avg_journey_time,1830.606777348526
S2,6,avg_jt_eminonu,1636.547544292383
S2,6,avg_jt_besiktas,2158.635302151656
S2,6,avg_jt_kadikoy,1853.5821003363183
S2,6,avg_jt_uskudar,1773.1545040453875
S2,6,loss_rate,0.0
S2,6,left_behind_rate,0.0014408157233633812
S2,6,throughput,1777.6666666666667
S2,6,load_factor_L1,0.2530921052631579
S2,6,load_factor_L2,0.3763529411764706
S2,6,load_factor_L3,0.30258823529411766
S2,6,load_factor_L4,0.34327586206896554
S2,6,avg_wait_kadikoy,281.30099497470763
S2,6,avg_wait_uskudar,552.723406186317
S2,6,avg_wait_eminonu,248.7604473149414
S2,6,avg_wait_besiktas,512.9885141336623
S2,6,berth_util_kadikoy,0.22
S2,6,berth_util_eminonu,0.22
S2,6,missed_conn_rate,0.0
S2,6,total_pax_served,26665.0
S2,7,avg_journey_time,1824.1204865890875
S2,7,avg_jt_eminonu,1630.3672736095496
S2,7,avg_jt_besiktas,2140.436453424702
S2,7,avg_jt_kadikoy,1845.49146749873
S2,7,avg_jt_uskudar,1777.4837070668034
S2,7,loss_rate,0.0
S2,7,left_behind_rate,0.0015279123500037267
S2,7,throughput,1763.5333333333333
S2,7,load_factor_L1,0.24892543859649122
S2,7,load_factor_L2,0.3725294117647059
S2,7,load_factor_L3,0.3004117647058824
S2,7,load_factor_L4,0.34793103448275864
S2,7,avg_wait_kadikoy,277.1481026165044
S2,7,avg_wait_uskudar,531.441684247511
S2,7,avg_wait_eminonu,255.4341703121877
S2,7,avg_wait_besiktas,495.22533458492165
S2,7,berth_util_kadikoy,0.22
S2,7,berth_util_eminonu,0.22
S2,7,missed_conn_rate,0.0
S2,7,total_pax_served,26453.0
S2,8,avg_journey_time,1832.6808359048687
S2,8,avg_jt_eminonu,1634.6638133996335
S2,8,avg_jt_besiktas,2148.833864765136
S2,8,avg_jt_kadikoy,1845.7780561911006
S2,8,avg_jt_uskudar,1799.583146787174
S2,8,loss_rate,0.0
S2,8,left_behind_rate,0.0011557245647392164
S2,8,throughput,1760.8
S2,8,load_factor_L1,0.24677631578947368
S2,8,load_factor_L2,0.377
S2,8,load_factor_L3,0.29864705882352943
S2,8,load_factor_L4,0.34913793103448276
S2,8,avg_wait_kadikoy,284.26795490277016
S2,8,avg_wait_uskudar,535.500608859532
S2,8,avg_wait_eminonu,255.39887343137158
S2,8,avg_wait_besiktas,511.6907946298004
S2,8,berth_util_kadikoy,0.22
S2,8,berth_util_eminonu,0.22
S2,8,missed_conn_rate,0.0
S2,8,total_pax_served,26412.0
S2,9,avg_journey_time,1828.9489858185111
S2,9,avg_jt_eminonu,1637.5624093614329
S2,9,avg_jt_besiktas,2141.8645364613308
S2,9,avg_jt_kadikoy,1850.4448751899643
S2,9,avg_jt_uskudar,1785.4126027649547
S2,9,loss_rate,0.0
S2,9,left_behind_rate,0.0017391947898164595
S2,9,throughput,1775.4666666666667
S2,9,load_factor_L1,0.2488157894736842
S2,9,load_factor_L2,0.37776470588235295
S2,9,load_factor_L3,0.30323529411764705
S2,9,load_factor_L4,0.3514655172413793
S2,9,avg_wait_kadikoy,276.1877782554391
S2,9,avg_wait_uskudar,544.4662610412307
S2,9,avg_wait_eminonu,252.57670893341077
S2,9,avg_wait_besiktas,497.10325136310536
S2,9,berth_util_kadikoy,0.22
S2,9,berth_util_eminonu,0.22
S2,9,missed_conn_rate,0.0
S2,9,total_pax_served,26632.0
S2,10,avg_journey_time,1836.6121164246442
S2,10,avg_jt_eminonu,1642.1056829422605
S2,10,avg_jt_besiktas,2147.7635315080424
S2,10,avg_jt_kadikoy,1858.123830570971
S2,10,avg_jt_uskudar,1793.103889191014
S2,10,loss_rate,0.0
S2,10,left_behind_rate,0.001135863989447457
S2,10,throughput,1791.8666666666666
S2,10,load_factor_L1,0.2507894736842105
S2,10,load_factor_L2,0.3915294117647059
S2,10,load_factor_L3,0.301
S2,10,load_factor_L4,0.35051724137931034
S2,10,avg_wait_kadikoy,276.95654142748214
S2,10,avg_wait_uskudar,558.2523831446756
S2,10,avg_wait_eminonu,258.8558887040173
S2,10,avg_wait_besiktas,502.52022267887315
S2,10,berth_util_kadikoy,0.22
S2,10,berth_util_eminonu,0.22
S2,10,missed_conn_rate,0.0
S2,10,total_pax_served,26878.0
S2,11,avg_journey_time,1835.1792660243455
S2,11,avg_jt_eminonu,1639.6449518342213
S2,11,avg_jt_besiktas,2151.6900170826775
S2,11,avg_jt_kadikoy,1854.8328470351962
S2,11,avg_jt_uskudar,1795.4738124409341
S2,11,loss_rate,0.0
S2,11,left_behind_rate,0.0017755419101871718
S2,11,throughput,1775.6
S2,11,load_factor_L1,0.2493421052631579
S2,11,load_factor_L2,0.38223529411764706
S2,11,load_factor_L3,0.30023529411764704
S2,11,load_factor_L4,0.3468965517241379
S2,11,avg_wait_kadikoy,281.24128943783234
S2,11,avg_wait_uskudar,554.6954655136266
S2,11,avg_wait_eminonu,256.8212445805817
S2,11,avg_wait_besiktas,508.51840256659517
S2,11,berth_util_kadikoy,0.22
S2,11,berth_util_eminonu,0.22
S2,11,missed_conn_rate,0.0
S2,11,total_pax_served,26634.0
