scenario,kpi,mean,ci_lower,ci_upper,std
S5,avg_jt_kadikoy,2112.1836945444807,2081.6765657568,2142.6908233321615,65.18416607513623
S5,avg_jt_uskudar,2160.091685452074,2092.7124418258654,2227.470929078283,143.96831105001922
S5,avg_wait_besiktas,879.1705741984936,827.8088686961145,930.5322797008727,109.74385576138684
S5,avg_wait_eminonu,506.14749943200815,470.92521003216,541.3697888318562,75.25898545763266
S5,avg_wait_kadikoy,639.3960206017991,580.6570961160171,698.1349450875812,125.50665896497674
S5,avg_wait_uskudar,1193.0343532844602,1061.0553144143034,1325.013392154617,281.99781264315783
S5,berth_util_eminonu,0.335,0.32907931279342834,0.3409206872065717,0.012650651617793288
S5,berth_util_kadikoy,0.17577777777777776,0.17174410169874135,0.17981145385681416,0.008618700673509038
S5,left_behind_rate,0.07365790730290576,0.059752474750447676,0.08756333985536385,0.02971154811566699
S5,load_factor_L1,0.3243966347816827,0.31660015126583846,0.3321931182975269,0.016658640012824442
S5,load_factor_L2,0.4520212585418754,0.4429275526897682,0.46111496439398264,0.019430397289356128
S5,load_factor_L3,0.3958147473729263,0.38077300743186937,0.4108564873139833,0.03213948061781526
S5,load_factor_L4,0.41980619000341185,0.40885257353540955,0.43075980647141415,0.02340444293997047
S5,loss_rate,0.0006474892175669159,6.549876053837088e-05,0.001229479674595461,0.0012435310733146473
S5,missed_conn_rate,0.23672324753941373,0.15190906016793934,0.32153743491088815,0.18122131760175267
S5,throughput,1772.0766666666666,1765.1408703101722,1779.012463023161,14.819621496062217
S5,total_pax_served,26581.15,26477.113054652586,26685.186945347417,222.29432244093343
S6,avg_journey_time,1968.304585919465,1966.5800116431917,1970.029160195738,3.6848743392361976
S6,avg_jt_besiktas,2326.6291206181904,2321.021267247079,2332.236973989302,11.982223827473424
S6,avg_jt_eminonu,1740.72441199854,1738.4758194158637,1742.9730045812164,4.804537108837603
S6,avg_jt_kadikoy,1963.9536556065298,1960.3698013705875,1967.537509842472,7.657572475292014
S6,avg_jt_uskudar,1987.4809399934154,1981.6973750501966,1993.2645049366342,12.357664347532543
S6,avg_wait_besiktas,684.8425933664159,681.0041597194394,688.6810270133925,8.2015288313184
S6,avg_wait_eminonu,357.92670772923435,354.912404878104,360.9410105803647,6.440619797959499
S6,avg_wait_kadikoy,392.33075966830603,389.5173311073684,395.14418822924364,6.0114144412941855
S6,avg_wait_uskudar,716.4265443643893,713.3641367844302,719.4889519443484,6.543404516075588
S6,berth_util_eminonu,0.18444444444444444,0.18444444444444444,0.18444444444444444,0.0
S6,berth_util_kadikoy,0.18444444444444444,0.18444444444444444,0.18444444444444444,0.0
S6,left_behind_rate,0.003195745197226864,0.0022820490263242904,0.004109441368129438,0.0019522821488982467
S6,load_factor_L1,0.29778776041666666,0.2963586301268726,0.29921689070646074,0.003053603202100142
S6,load_factor_L2,0.4559642857142857,0.4532146282131999,0.4587139432153715,0.0058751556873125645
S6,load_factor_L3,0.3649107142857143,0.3627173314258079,0.3671040971456207,0.004686571247053194
S6,load_factor_L4,0.4346521739130435,0.4326342939616389,0.4366700538644481,0.00431157657567434
S6,loss_rate,0.0,0.0,0.0,0.0
S6,missed_conn_rate,0.0,0.0,0.0,0.0
S6,throughput,1782.86,1776.9318356700085,1788.7881643299913,12.666627885443853
S6,total_pax_served,26742.9,26653.97753505013,26831.822464949873,189.99941828165794
